NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
5002914ED2D3,1597041901,50.010,27.100,0.000,4.640,12.850,0.000
5002914ED2D3,1597130885,47.180,28.500,0.000,8.090,18.200,0.000
5002914ED2D3,1597131061,46.930,28.620,0.000,7.590,16.860,0.000
5002914ED2D3,1597131241,47.050,28.680,0.000,7.200,15.690,0.000
5002914ED2D3,1597372921,72.830,29.260,0.000,13.500,15.530,0.000
5002914ED2D3,1597373281,74.240,29.000,0.000,14.160,15.660,0.000
5002914ED2D3,1597373461,74.460,28.880,0.000,14.030,15.500,0.000
5002914ED2D3,1597373642,74.710,28.810,0.000,13.030,14.330,0.000
5002914ED2D3,1597373821,74.920,28.770,0.000,12.690,14.030,0.000
5002914ED2D3,1597374001,75.160,28.740,0.000,12.500,13.860,0.000
5002914ED2D3,1597374181,75.050,28.670,0.000,12.760,14.190,0.000
5002914ED2D3,1597374362,75.330,28.620,0.000,13.030,14.530,0.000
5002914ED2D3,1597374543,75.510,28.610,0.000,13.960,15.430,0.000
5002914ED2D3,1597374721,75.630,28.640,0.000,14.460,16.100,0.000
5002914ED2D3,1597374906,75.300,28.670,0.000,13.900,15.500,0.000
5002914ED2D3,1597375081,75.360,28.690,0.000,14.230,15.830,0.000
5002914ED2D3,1597375264,75.500,28.680,0.000,12.360,13.730,0.000
5002914ED2D3,1597375443,75.450,28.660,0.000,11.330,12.460,0.000
5002914ED2D3,1597375621,75.450,28.630,0.000,11.030,12.190,0.000
5002914ED2D3,1597375807,75.350,28.640,0.000,11.160,12.230,0.000
5002914ED2D3,1597375981,75.430,28.640,0.000,11.400,12.530,0.000
5002914ED2D3,1597376161,75.630,28.670,0.000,11.900,13.130,0.000
5002914ED2D3,1597376342,75.740,28.690,0.000,11.400,12.560,0.000
5002914ED2D3,1597376526,75.710,28.720,0.000,10.630,11.730,0.000
5002914ED2D3,1597376701,75.510,28.770,0.000,10.460,11.530,0.000
5002914ED2D3,1597376881,75.210,28.800,0.000,9.930,10.930,0.000
5002914ED2D3,1597377157,75.400,28.850,0.000,10.430,11.460,0.000
