NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
50029167DB95,1589685868,37.060,41.270,0.000,19.260,26.130,0.000
50029167DB95,1589685951,34.130,42.560,0.000,19.360,27.160,0.000
50029167DB95,1589686131,34.180,42.430,0.000,19.600,26.060,0.000
50029167DB95,1589686310,37.600,40.700,0.000,20.100,28.500,0.000
50029167DB95,1589686492,39.450,40.080,0.000,20.930,30.960,0.000
50029167DB95,1589686674,39.060,40.230,0.000,21.130,30.130,0.000
50029167DB95,1589686854,38.140,40.760,0.000,21.100,30.230,0.000
50029167DB95,1589687031,35.350,42.090,0.000,22.830,34.160,0.000
50029167DB95,1589687214,32.970,43.150,0.000,20.360,28.730,0.000
50029167DB95,1589687393,33.120,42.800,0.000,19.930,28.060,0.000
50029167DB95,1589687574,31.940,43.740,0.000,19.060,26.530,0.000
50029167DB95,1589687754,29.800,44.840,0.000,18.600,27.230,0.000
50029167DB95,1589687930,29.650,44.920,0.000,20.760,31.630,0.000
50029167DB95,1589688113,30.600,44.240,0.000,17.860,27.300,0.000
50029167DB95,1589688293,32.600,43.210,0.000,19.800,30.330,0.000
50029167DB95,1589688472,35.250,42.050,0.000,22.060,30.360,0.000
50029167DB95,1589688656,37.110,41.260,0.000,23.830,32.430,0.000
50029167DB95,1589688833,39.870,39.770,0.000,22.660,34.330,0.000
50029167DB95,1589689011,42.860,37.790,0.000,15.500,42.200,0.000
50029167DB95,1589689195,44.290,36.530,0.000,11.830,35.500,0.000
50029167DB95,1589689371,45.560,35.820,0.000,9.860,30.560,0.000
50029167DB95,1589689569,47.430,34.750,0.000,8.460,23.460,0.000
50029167DB95,1589689748,49.500,33.780,0.000,9.130,21.100,0.000
50029167DB95,1589689929,50.190,33.450,0.000,13.630,26.790,0.000
50029167DB95,1589690110,49.920,33.580,0.000,11.860,25.330,0.000
50029167DB95,1589690290,49.080,33.680,0.000,12.390,24.760,0.000
50029167DB95,1589690469,47.000,34.520,0.000,12.900,23.700,0.000
50029167DB95,1589690650,43.250,35.740,0.000,9.700,20.230,0.000
50029167DB95,1589690829,41.100,36.480,0.000,7.790,15.760,0.000
50029167DB95,1589691011,40.190,36.800,0.000,7.260,16.059,0.000
50029167DB95,1589691191,37.600,37.810,0.000,5.660,12.830,0.000
50029167DB95,1589691370,35.810,38.370,0.000,5.560,11.500,0.000
50029167DB95,1589691549,36.310,38.280,0.000,6.230,11.860,0.000
50029167DB95,1589691728,35.390,38.520,0.000,6.060,11.460,0.000
50029167DB95,1589691912,34.520,38.960,0.000,5.860,11.690,0.000
50029167DB95,1589692089,33.820,39.260,0.000,5.630,10.000,0.000
50029167DB95,1589692270,33.630,39.290,0.000,5.790,9.930,0.000
50029167DB95,1589692448,33.410,39.470,0.000,5.560,10.260,0.000
50029167DB95,1589692631,33.070,39.630,0.000,5.130,10.590,0.000
50029167DB95,1589692812,33.030,39.730,0.000,5.060,8.500,0.000
50029167DB95,1589692987,32.970,39.810,0.000,6.260,10.260,0.000
50029167DB95,1589693170,32.830,39.900,0.000,5.860,9.260,0.000
50029167DB95,1589693348,33.120,39.780,0.000,8.690,13.400,0.000
50029167DB95,1589693529,33.640,39.640,0.000,9.390,13.160,0.000
50029167DB95,1589693709,33.680,39.610,0.000,7.060,11.430,0.000
50029167DB95,1589693891,32.970,40.030,0.000,6.500,11.530,0.000
50029167DB95,1589694070,33.800,39.840,0.000,5.760,9.860,0.000
50029167DB95,1589694247,33.140,40.180,0.000,5.700,9.400,0.000
50029167DB95,1589694429,32.409,40.490,0.000,5.700,9.800,0.000
50029167DB95,1589694608,32.830,40.230,0.000,5.830,9.990,0.000
50029167DB95,1589694791,33.380,39.850,0.000,4.930,8.960,0.000
50029167DB95,1589694970,33.770,39.740,0.000,5.360,8.430,0.000
50029167DB95,1589695147,33.810,39.700,0.000,5.960,9.130,0.000
50029167DB95,1589695330,33.910,39.720,0.000,5.930,9.690,0.000
50029167DB95,1589695511,33.410,40.080,0.000,5.090,9.460,0.000
50029167DB95,1589695689,32.320,40.360,0.000,4.660,9.090,0.000
50029167DB95,1589695868,32.650,40.210,0.000,4.500,7.830,0.000
50029167DB95,1589696050,32.520,40.250,0.000,4.230,9.190,0.000
50029167DB95,1589696226,33.360,39.920,0.000,4.560,9.260,0.000
50029167DB95,1589696411,33.340,40.110,0.000,5.400,10.060,0.000
50029167DB95,1589696591,32.970,40.180,0.000,5.030,8.300,0.000
50029167DB95,1589696768,33.560,39.770,0.000,5.030,9.590,0.000
50029167DB95,1589696950,33.390,40.060,0.000,4.830,8.900,0.000
50029167DB95,1589697129,32.940,40.290,0.000,4.860,9.130,0.000
