NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
50029167E731,1589685868,60.950,32.890,0.000,28.030,39.790,0.000
50029167E731,1589685922,60.520,33.030,0.000,28.100,39.660,0.000
50029167E731,1589686092,59.980,33.100,0.000,28.560,39.200,0.000
50029167E731,1589686276,59.840,33.140,0.000,28.660,42.930,0.000
50029167E731,1589686458,58.970,33.300,0.000,29.430,44.890,0.000
50029167E731,1589686636,58.980,33.410,0.000,28.860,45.030,0.000
50029167E731,1589686818,58.790,33.510,0.000,30.260,51.360,0.000
50029167E731,1589686996,58.810,33.560,0.000,32.460,57.060,0.000
50029167E731,1589687172,59.170,33.560,0.000,34.130,63.530,0.000
50029167E731,1589687356,59.430,33.510,0.000,32.960,50.160,0.000
50029167E731,1589687532,59.370,33.450,0.000,32.759,47.790,0.000
50029167E731,1589687716,59.590,33.330,0.000,32.060,46.660,0.000
50029167E731,1589687892,59.990,33.240,0.000,31.760,43.790,0.000
50029167E731,1589688081,60.260,33.100,0.000,33.530,46.330,0.000
50029167E731,1589688257,60.880,32.910,0.000,34.200,47.830,0.000
50029167E731,1589688441,59.800,32.600,0.000,25.560,50.000,0.000
50029167E731,1589688612,57.950,31.880,0.000,13.390,55.800,0.000
50029167E731,1589688801,57.600,31.400,0.000,8.830,31.360,0.000
50029167E731,1589688977,57.300,30.930,0.000,6.290,25.330,0.000
50029167E731,1589689155,57.840,30.470,0.000,6.460,20.660,0.000
50029167E731,1589689331,58.390,30.140,0.000,6.660,27.500,0.000
50029167E731,1589689521,58.910,29.860,0.000,6.060,17.200,0.000
50029167E731,1589689691,59.390,29.740,0.000,6.730,21.100,0.000
50029167E731,1589689881,59.540,29.660,0.000,5.730,15.860,0.000
50029167E731,1589690051,59.280,29.610,0.000,5.160,13.130,0.000
50029167E731,1589690241,60.000,29.420,0.000,5.960,14.030,0.000
50029167E731,1589690417,60.340,29.400,0.000,7.460,23.060,0.000
50029167E731,1589690601,60.190,29.340,0.000,5.530,16.530,0.000
50029167E731,1589690771,60.250,29.290,0.000,4.830,11.530,0.000
50029167E731,1589690961,59.870,29.460,0.000,5.660,13.660,0.000
50029167E731,1589691137,59.360,29.720,0.000,8.260,31.030,0.000
50029167E731,1589691315,58.760,29.970,0.000,6.560,18.600,0.000
50029167E731,1589691491,58.170,30.170,0.000,6.960,16.160,0.000
50029167E731,1589691675,57.430,30.410,0.000,6.590,17.060,0.000
50029167E731,1589691857,56.720,30.580,0.000,5.860,13.930,0.000
50029167E731,1589692035,56.640,30.730,0.000,6.300,13.030,0.000
50029167E731,1589692216,56.440,30.880,0.000,6.430,12.600,0.000
50029167E731,1589692395,56.080,31.030,0.000,6.330,11.800,0.000
50029167E731,1589692579,55.820,31.110,0.000,6.200,10.890,0.000
50029167E731,1589692755,55.530,31.310,0.000,6.830,12.660,0.000
50029167E731,1589692936,55.100,31.460,0.000,6.560,11.860,0.000
50029167E731,1589693115,55.270,31.600,0.000,6.660,14.060,0.000
50029167E731,1589693296,54.900,31.840,0.000,6.460,12.660,0.000
50029167E731,1589693475,53.930,32.030,0.000,6.760,12.260,0.000
50029167E731,1589693656,53.150,32.100,0.000,5.830,10.590,0.000
50029167E731,1589693840,53.060,32.170,0.000,6.000,13.230,0.000
50029167E731,1589694016,52.450,32.350,0.000,6.230,12.690,0.000
50029167E731,1589694200,52.360,32.400,0.000,6.230,12.190,0.000
50029167E731,1589694379,52.560,32.460,0.000,6.590,13.060,0.000
50029167E731,1589694555,52.840,32.549,0.000,7.130,12.730,0.000
50029167E731,1589694739,52.630,32.650,0.000,7.690,12.190,0.000
50029167E731,1589694920,52.350,32.780,0.000,7.260,13.590,0.000
50029167E731,1589695096,51.920,32.790,0.000,6.560,10.830,0.000
50029167E731,1589695280,51.500,32.820,0.000,5.630,9.900,0.000
50029167E731,1589695456,51.430,32.860,0.000,5.000,9.000,0.000
50029167E731,1589695635,51.430,32.960,0.000,4.590,10.300,0.000
50029167E731,1589695816,50.890,33.100,0.000,4.360,10.000,0.000
50029167E731,1589696000,50.620,33.180,0.000,4.390,9.140,0.000
50029167E731,1589696170,51.010,33.180,0.000,4.070,7.470,0.000
50029167E731,1589696354,50.840,33.270,0.000,4.150,10.350,0.000
50029167E731,1589696538,50.710,33.400,0.000,4.790,11.690,0.000
50029167E731,1589696719,50.350,33.480,0.000,5.260,10.600,0.000
50029167E731,1589696895,49.850,33.510,0.000,5.560,10.190,0.000
50029167E731,1589697074,50.310,33.510,0.000,5.390,11.460,0.000
50029167E731,1589697254,50.360,33.610,0.000,5.730,12.600,0.000
50029167E731,1589697438,50.260,33.690,0.000,6.060,17.460,0.000
