NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
50029167E8F2,1596211205,118.990,22.340,0.000,37.730,51.890,0.000
50029167E8F2,1596211386,118.990,22.340,0.000,36.160,46.860,0.000
50029167E8F2,1596211565,118.990,22.650,0.000,37.360,48.700,0.000
50029167E8F2,1596211745,118.990,22.620,0.000,38.330,49.160,0.000
50029167E8F2,1596211926,118.990,22.500,0.000,38.890,49.930,0.000
50029167E8F2,1596212104,118.990,22.340,0.000,40.530,53.360,0.000
50029167E8F2,1596212285,118.990,22.160,0.000,39.260,51.260,0.000
50029167E8F2,1596212465,118.990,22.210,0.000,39.160,50.890,0.000
50029167E8F2,1596212644,118.990,22.180,0.000,40.560,53.860,0.000
50029167E8F2,1596212825,118.990,22.140,0.000,41.160,54.860,0.000
50029167E8F2,1596213005,118.990,22.220,0.000,42.090,56.300,0.000
50029167E8F2,1596213185,118.990,22.270,0.000,41.960,55.000,0.000
50029167E8F2,1596213365,118.990,22.320,0.000,43.330,58.530,0.000
50029167E8F2,1596213545,118.990,22.060,0.000,43.860,60.730,0.000
50029167E8F2,1596213724,118.990,22.240,0.000,42.430,57.130,0.000
50029167E8F2,1596213904,118.990,21.990,0.000,43.360,57.260,0.000
50029167E8F2,1596214086,118.990,22.110,0.000,43.260,59.030,0.000
50029167E8F2,1596214266,118.990,22.040,0.000,42.500,53.730,0.000
50029167E8F2,1596214444,118.990,22.020,0.000,43.630,59.700,0.000
50029167E8F2,1596214625,118.990,22.070,0.000,43.130,57.390,0.000
50029167E8F2,1596214805,118.990,22.280,0.000,42.230,57.460,0.000
50029167E8F2,1596214986,118.990,22.280,0.000,42.500,60.890,0.000
50029167E8F2,1596215164,118.990,22.070,0.000,42.930,58.660,0.000
50029167E8F2,1596215345,118.990,22.360,0.000,46.100,64.060,0.000
50029167E8F2,1596215526,118.990,21.990,0.000,47.230,69.090,0.000
50029167E8F2,1596215704,118.990,22.020,0.000,46.890,67.900,0.000
50029167E8F2,1596215885,118.990,21.910,0.000,48.730,70.190,0.000
50029167E8F2,1596216065,118.990,22.100,0.000,50.030,71.260,0.000
50029167E8F2,1596216244,118.990,21.940,0.000,51.860,76.430,0.000
50029167E8F2,1596216424,118.990,22.200,0.000,52.430,76.660,0.000
50029167E8F2,1596216604,118.990,21.740,0.000,51.590,72.160,0.000
50029167E8F2,1596216786,118.990,22.320,0.000,50.600,74.160,0.000
50029167E8F2,1596216965,118.990,21.880,0.000,52.130,71.460,0.000
50029167E8F2,1596217146,118.990,22.110,0.000,54.400,79.200,0.000
50029167E8F2,1596217325,118.990,22.230,0.000,56.160,81.700,0.000
50029167E8F2,1596217505,118.990,22.280,0.000,54.130,78.200,0.000
50029167E8F2,1596217685,118.990,22.150,0.000,53.460,72.730,0.000
50029167E8F2,1596217865,118.990,22.030,0.000,54.230,78.760,0.000
50029167E8F2,1596218044,118.990,21.900,0.000,52.000,72.830,0.000
50029167E8F2,1596218225,118.990,22.130,0.000,51.230,73.760,0.000
50029167E8F2,1596218405,118.990,22.040,0.000,51.000,73.360,0.000
50029167E8F2,1596218584,118.990,21.850,0.000,49.960,70.760,0.000
50029167E8F2,1596218764,118.990,22.000,0.000,47.760,66.400,0.000
50029167E8F2,1596218944,118.990,21.590,0.000,49.660,68.330,0.000
50029167E8F2,1596219125,118.990,21.530,0.000,47.460,68.060,0.000
50029167E8F2,1596219304,118.990,21.540,0.000,48.500,67.160,0.000
50029167E8F2,1596219485,118.990,21.760,0.000,46.730,67.090,0.000
50029167E8F2,1596219666,118.990,21.660,0.000,46.030,64.830,0.000
50029167E8F2,1596219846,118.990,21.670,0.000,46.700,65.930,0.000
50029167E8F2,1596220024,118.990,21.790,0.000,46.200,64.959,0.000
50029167E8F2,1596220206,118.990,21.370,0.000,45.590,62.260,0.000
50029167E8F2,1596220385,118.990,21.470,0.000,45.230,62.290,0.000
50029167E8F2,1596220566,118.990,21.370,0.000,47.000,65.330,0.000
50029167E8F2,1596220745,118.990,21.660,0.000,46.460,62.930,0.000
50029167E8F2,1596220926,118.990,21.640,0.000,45.730,60.400,0.000
50029167E8F2,1596221105,118.990,21.550,0.000,45.730,61.600,0.000
50029167E8F2,1596221285,118.990,21.200,0.000,46.560,63.460,0.000
50029167E8F2,1596221465,118.990,21.380,0.000,46.730,63.730,0.000
50029167E8F2,1596221646,118.990,21.380,0.000,50.460,69.530,0.000
50029167E8F2,1596221824,118.990,21.220,0.000,52.560,76.790,0.000
