NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
500291683BC4,1592270824,0.000,0.000,0.000,8.189,14.800,0.000
500291683BC4,1592271004,0.000,0.000,0.000,7.330,15.130,0.000
500291683BC4,1592273645,0.000,0.000,0.000,33.000,57.700,0.000
500291683BC4,1592273824,0.000,0.000,0.000,28.300,48.400,0.000
500291683BC4,1592274005,0.000,0.000,0.000,26.230,45.830,0.000
500291683BC4,1592274186,0.000,0.000,0.000,22.560,38.660,0.000
500291683BC4,1592274365,0.000,0.000,0.000,21.500,38.000,0.000
500291683BC4,1592274545,0.000,0.000,0.000,46.960,84.130,0.000
500291683BC4,1592274726,0.000,0.000,0.000,56.200,103.030,0.000
500291683BC4,1592274905,0.000,0.000,0.000,68.200,125.960,0.000
500291683BC4,1592275084,0.000,0.000,0.000,58.530,108.960,0.000
500291683BC4,1592275266,0.000,0.000,0.000,48.260,84.160,0.000
500291683BC4,1592275444,0.000,0.000,0.000,41.600,75.400,0.000
500291683BC4,1592282942,0.000,0.000,0.000,8.300,22.370,0.000
500291683BC4,1592283122,0.000,0.000,0.000,7.590,22.860,0.000
500291683BC4,1592283302,14.830,9.850,0.000,5.960,16.560,0.000
500291683BC4,1592283482,46.510,28.660,0.000,5.500,17.730,0.000
500291683BC4,1592283662,46.870,28.420,0.000,5.130,14.160,0.000
500291683BC4,1592284501,47.340,28.920,0.000,3.340,8.600,0.000
500291683BC4,1592284682,47.560,28.610,0.000,3.200,8.930,0.000
500291683BC4,1592284862,46.330,28.370,0.000,3.000,7.790,0.000
500291683BC4,1592285042,45.550,28.140,0.000,3.000,7.030,0.000
500291683BC4,1592285221,44.640,28.050,0.000,2.630,5.560,0.000
500291683BC4,1592285401,44.640,28.000,0.000,2.700,5.460,0.000
500291683BC4,1592285582,43.710,27.970,0.000,2.330,5.430,0.000
500291683BC4,1592285762,43.240,27.880,0.000,2.460,5.760,0.000
500291683BC4,1592285942,43.620,27.880,0.000,2.330,4.860,0.000
