NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
500291684123,1592272625,0.000,0.000,0.000,25.800,52.290,0.000
500291684123,1592272805,0.000,0.000,0.000,19.890,37.630,0.000
500291684123,1592272985,0.000,0.000,0.000,18.890,34.260,0.000
500291684123,1592273165,0.000,0.000,0.000,17.000,31.190,0.000
500291684123,1592273346,0.000,0.000,0.000,24.260,45.460,0.000
500291684123,1592278502,0.000,0.000,0.000,17.750,36.650,0.000
500291684123,1592278588,0.000,0.000,0.000,15.850,29.900,0.000
500291684123,1592282042,47.450,29.060,0.000,20.100,39.500,0.000
500291684123,1592282882,50.550,28.210,0.000,11.890,25.200,0.000
500291684123,1592283062,50.450,28.150,0.000,12.330,26.330,0.000
500291684123,1592283242,49.880,28.170,0.000,10.690,21.000,0.000
500291684123,1592283422,49.550,28.350,0.000,9.560,18.860,0.000
500291684123,1592283602,49.250,28.410,0.000,8.390,16.630,0.000
500291684123,1592284562,49.950,28.550,0.000,3.530,9.060,0.000
500291684123,1592284742,49.490,28.620,0.000,3.460,8.100,0.000
500291684123,1592284922,47.900,28.590,0.000,2.960,8.189,0.000
500291684123,1592285102,46.710,28.510,0.000,2.730,5.800,0.000
500291684123,1592285282,45.940,28.430,0.000,2.530,4.860,0.000
500291684123,1592285462,45.790,28.380,0.000,2.500,5.730,0.000
500291684123,1592285642,44.900,28.340,0.000,2.360,4.830,0.000
500291684123,1592285822,44.460,28.290,0.000,2.029,3.700,0.000
500291684123,1592286002,45.030,28.270,0.000,2.230,4.330,0.000
