NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
BCDDC26BA2D4,1596211269,118.990,30.520,0.000,45.500,58.160,0.000
BCDDC26BA2D4,1596211445,118.990,30.490,0.000,50.430,65.660,0.000
BCDDC26BA2D4,1596211625,118.990,30.470,0.000,50.630,69.300,0.000
BCDDC26BA2D4,1596211804,118.990,30.460,0.000,51.030,67.630,0.000
BCDDC26BA2D4,1596211986,118.990,30.460,0.000,51.430,65.730,0.000
BCDDC26BA2D4,1596212166,118.990,30.470,0.000,47.630,60.390,0.000
BCDDC26BA2D4,1596212349,118.990,30.500,0.000,46.430,56.230,0.000
BCDDC26BA2D4,1596212525,118.990,30.560,0.000,45.600,58.730,0.000
BCDDC26BA2D4,1596212704,118.990,30.560,0.000,45.390,53.890,0.000
BCDDC26BA2D4,1596212886,118.990,30.490,0.000,49.660,64.230,0.000
BCDDC26BA2D4,1596213064,118.990,30.420,0.000,48.960,62.260,0.000
BCDDC26BA2D4,1596213246,118.990,30.380,0.000,48.100,59.360,0.000
BCDDC26BA2D4,1596213425,118.990,30.380,0.000,47.930,57.830,0.000
BCDDC26BA2D4,1596213606,118.990,30.340,0.000,46.960,55.830,0.000
BCDDC26BA2D4,1596213784,118.990,30.320,0.000,44.700,53.300,0.000
BCDDC26BA2D4,1596213966,118.990,30.310,0.000,46.960,56.900,0.000
BCDDC26BA2D4,1596214145,118.990,30.290,0.000,44.460,53.360,0.000
BCDDC26BA2D4,1596214326,118.990,30.260,0.000,46.330,56.900,0.000
BCDDC26BA2D4,1596214505,118.990,30.250,0.000,47.560,58.000,0.000
BCDDC26BA2D4,1596214685,118.990,30.260,0.000,48.030,60.730,0.000
