NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
DC4F2222F3A0,1589685868,81.270,27.490,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589721996,73.600,29.850,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589721999,73.010,30.000,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722003,73.350,30.020,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722008,73.770,29.960,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722011,73.970,29.930,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722015,74.580,29.800,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722020,74.440,29.870,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722023,81.670,27.530,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722025,82.930,27.490,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722030,83.340,27.570,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722034,83.880,27.590,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722040,84.910,27.580,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722043,85.340,27.490,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722045,86.030,27.480,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722049,86.180,27.530,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722052,85.700,27.590,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722056,86.560,27.680,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722059,87.150,27.680,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722062,87.520,27.590,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722067,87.960,27.620,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722074,88.230,27.690,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722076,88.370,27.630,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722078,89.440,27.650,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722081,88.740,27.660,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722086,88.740,27.710,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722093,74.430,29.890,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722094,88.570,27.690,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722097,88.830,27.680,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722102,88.990,27.700,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722106,88.800,27.800,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722110,89.780,27.630,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722112,90.000,27.650,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722116,90.570,27.700,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722118,89.860,27.710,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722123,89.090,27.820,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722126,86.090,27.840,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722130,84.430,27.820,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722133,84.840,27.820,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722136,85.400,27.780,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722139,84.770,27.780,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722149,84.600,27.750,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722152,82.320,27.780,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722155,82.680,27.730,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722158,81.630,27.810,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722162,80.040,27.700,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722166,78.980,27.750,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722169,76.730,27.750,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722172,76.360,27.680,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722175,75.580,27.790,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722179,75.650,27.890,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722184,76.140,27.960,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722188,77.250,27.960,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722191,76.280,28.050,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722196,76.280,28.000,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722200,76.340,27.970,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722203,76.780,27.970,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722207,76.780,27.930,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722210,76.580,27.930,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722214,76.700,27.960,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722217,77.720,28.070,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722221,78.510,28.110,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722225,78.090,28.130,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722230,77.910,28.070,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722235,78.140,28.050,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722238,79.260,28.100,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722241,79.120,28.150,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722243,79.650,28.150,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722247,79.830,28.020,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722251,79.760,28.120,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722255,81.260,27.980,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722259,83.590,27.750,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722264,84.960,27.750,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722266,73.780,30.110,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722269,86.330,27.640,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722273,87.190,27.530,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722276,87.380,27.610,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722278,86.190,27.710,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722282,86.050,27.760,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722285,86.330,27.750,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722288,87.470,27.480,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722291,87.320,27.490,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722293,88.580,27.330,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722298,88.670,27.240,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722302,89.630,27.170,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722305,88.720,27.310,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722308,89.520,27.230,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722310,90.160,27.150,0.000,0.000,0.000,0.000
DC4F2222F3A0,1589722313,90.400,27.050,0.000,0.000,0.000,0.000
