NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
DC4F227DCC45,1590944570,64.560,31.070,0.000,11.560,19.700,0.000
DC4F227DCC45,1590944749,64.860,31.020,0.000,11.930,18.700,0.000
DC4F227DCC45,1590944929,64.910,31.050,0.000,12.060,20.430,0.000
DC4F227DCC45,1590945109,65.360,30.970,0.000,12.360,21.960,0.000
DC4F227DCC45,1590945292,66.040,30.930,0.000,13.500,21.530,0.000
DC4F227DCC45,1590945474,66.350,30.890,0.000,14.300,23.260,0.000
DC4F227DCC45,1590945649,66.540,30.920,0.000,14.330,24.190,0.000
DC4F227DCC45,1590945848,67.160,30.750,0.000,14.430,25.330,0.000
DC4F227DCC45,1590946031,67.520,30.710,0.000,19.360,30.190,0.000
DC4F227DCC45,1590946208,67.590,30.710,0.000,18.560,29.130,0.000
DC4F227DCC45,1590946391,67.980,30.660,0.000,24.530,35.630,0.000
DC4F227DCC45,1590946568,67.800,30.660,0.000,23.100,33.200,0.000
DC4F227DCC45,1590946739,67.730,30.700,0.000,18.560,29.530,0.000
DC4F227DCC45,1590946927,68.000,30.640,0.000,18.360,31.260,0.000
DC4F227DCC45,1590947110,68.190,30.640,0.000,24.030,37.730,0.000
DC4F227DCC45,1590947291,68.430,30.600,0.000,28.560,40.830,0.000
DC4F227DCC45,1590947469,68.380,30.580,0.000,19.560,31.460,0.000
DC4F227DCC45,1590947650,68.190,30.560,0.000,18.060,29.430,0.000
DC4F227DCC45,1590947827,67.960,30.580,0.000,14.800,28.030,0.000
DC4F227DCC45,1590948008,67.940,30.590,0.000,13.630,25.130,0.000
DC4F227DCC45,1590948188,68.390,30.480,0.000,13.730,25.760,0.000
DC4F227DCC45,1590948367,68.380,30.500,0.000,13.730,22.860,0.000
DC4F227DCC45,1590948551,67.730,30.530,0.000,11.600,20.560,0.000
DC4F227DCC45,1590948731,67.600,30.540,0.000,11.030,20.030,0.000
DC4F227DCC45,1590948911,67.560,30.490,0.000,10.460,18.630,0.000
DC4F227DCC45,1590949087,67.630,30.450,0.000,10.400,18.500,0.000
DC4F227DCC45,1590949269,67.730,30.430,0.000,10.260,18.860,0.000
DC4F227DCC45,1590949451,67.690,30.440,0.000,10.800,20.500,0.000
DC4F227DCC45,1590949628,67.490,30.410,0.000,10.800,21.600,0.000
DC4F227DCC45,1590949811,67.310,30.370,0.000,10.400,17.760,0.000
DC4F227DCC45,1590949989,67.200,30.420,0.000,9.800,17.790,0.000
DC4F227DCC45,1590950169,66.990,30.470,0.000,9.360,17.560,0.000
DC4F227DCC45,1590950347,66.750,30.450,0.000,10.160,18.960,0.000
DC4F227DCC45,1590950530,66.790,30.460,0.000,10.230,18.160,0.000
DC4F227DCC45,1590950708,67.010,30.430,0.000,10.400,19.630,0.000
DC4F227DCC45,1590950888,67.060,30.460,0.000,10.130,19.560,0.000
DC4F227DCC45,1590951071,67.210,30.440,0.000,10.730,19.100,0.000
DC4F227DCC45,1590951250,67.320,30.450,0.000,10.690,19.160,0.000
DC4F227DCC45,1590951430,67.520,30.380,0.000,10.860,18.190,0.000
DC4F227DCC45,1590951652,68.270,30.250,0.000,10.460,17.960,0.000
DC4F227DCC45,1590951833,68.250,30.260,0.000,10.190,18.500,0.000
DC4F227DCC45,1590952012,68.290,30.280,0.000,10.000,17.930,0.000
DC4F227DCC45,1590952191,68.980,30.170,0.000,10.300,19.100,0.000
DC4F227DCC45,1590952371,68.630,30.260,0.000,10.690,18.730,0.000
DC4F227DCC45,1590952551,68.610,30.270,0.000,10.400,20.260,0.000
DC4F227DCC45,1590952733,68.560,30.280,0.000,9.060,17.100,0.000
DC4F227DCC45,1590952911,68.880,30.240,0.000,8.800,15.460,0.000
DC4F227DCC45,1590953092,69.460,30.140,0.000,8.860,17.430,0.000
DC4F227DCC45,1590953271,70.280,30.130,0.000,9.500,19.300,0.000
DC4F227DCC45,1590953452,70.950,30.120,0.000,9.560,19.130,0.000
DC4F227DCC45,1590953630,71.380,30.040,0.000,9.400,19.730,0.000
DC4F227DCC45,1590953812,72.150,30.020,0.000,9.760,20.030,0.000
DC4F227DCC45,1590953992,73.190,29.890,0.000,9.830,19.030,0.000
DC4F227DCC45,1590954169,73.580,29.890,0.000,9.430,18.290,0.000
DC4F227DCC45,1590954350,73.570,29.960,0.000,8.560,17.960,0.000
DC4F227DCC45,1590954532,73.910,29.920,0.000,8.530,17.900,0.000
DC4F227DCC45,1590954714,74.340,29.810,0.000,9.800,19.860,0.000
DC4F227DCC45,1590954892,74.240,29.730,0.000,9.690,18.860,0.000
DC4F227DCC45,1590955071,74.380,29.810,0.000,9.400,20.330,0.000
DC4F227DCC45,1590955250,74.530,29.810,0.000,9.590,20.500,0.000
DC4F227DCC45,1590955431,74.430,29.780,0.000,9.330,18.600,0.000
DC4F227DCC45,1590955610,74.020,29.700,0.000,9.960,19.030,0.000
DC4F227DCC45,1590955792,73.990,29.690,0.000,9.430,18.600,0.000
DC4F227DCC45,1590955970,73.710,29.740,0.000,10.730,20.530,0.000
DC4F227DCC45,1590956154,72.770,29.750,0.000,10.630,19.360,0.000
DC4F227DCC45,1590956331,72.300,29.680,0.000,10.530,18.530,0.000
DC4F227DCC45,1590956510,72.130,29.720,0.000,10.900,19.700,0.000
