NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
DC4F227DCCD1,1590944526,62.470,31.990,0.000,15.500,23.060,0.000
DC4F227DCCD1,1590944704,62.510,31.990,0.000,15.300,21.330,0.000
DC4F227DCCD1,1590944884,62.800,31.910,0.000,14.660,22.890,0.000
DC4F227DCCD1,1590945066,62.660,31.920,0.000,14.590,21.960,0.000
DC4F227DCCD1,1590945244,62.780,31.920,0.000,14.430,22.960,0.000
DC4F227DCCD1,1590945425,63.000,31.870,0.000,14.130,21.460,0.000
DC4F227DCCD1,1590945605,63.470,31.810,0.000,15.060,22.860,0.000
DC4F227DCCD1,1590945785,63.440,31.800,0.000,15.930,21.330,0.000
DC4F227DCCD1,1590945966,63.500,31.810,0.000,15.930,23.630,0.000
DC4F227DCCD1,1590946146,63.600,31.820,0.000,16.630,24.360,0.000
DC4F227DCCD1,1590946325,63.570,31.810,0.000,15.360,26.430,0.000
DC4F227DCCD1,1590946505,63.440,31.770,0.000,15.560,24.730,0.000
DC4F227DCCD1,1590946684,63.300,31.750,0.000,15.500,25.130,0.000
DC4F227DCCD1,1590946866,63.730,31.750,0.000,15.000,22.230,0.000
DC4F227DCCD1,1590947045,63.980,31.710,0.000,15.630,23.730,0.000
DC4F227DCCD1,1590947225,64.069,31.700,0.000,15.900,21.830,0.000
DC4F227DCCD1,1590947406,63.880,31.720,0.000,14.430,23.030,0.000
DC4F227DCCD1,1590947584,63.780,31.730,0.000,14.590,23.060,0.000
DC4F227DCCD1,1590947765,63.640,31.740,0.000,14.360,22.230,0.000
DC4F227DCCD1,1590947945,63.740,31.750,0.000,14.460,23.890,0.000
DC4F227DCCD1,1590948125,63.720,31.700,0.000,14.190,19.960,0.000
DC4F227DCCD1,1590948304,63.640,31.720,0.000,12.690,19.800,0.000
DC4F227DCCD1,1590948484,64.000,31.690,0.000,13.760,19.730,0.000
DC4F227DCCD1,1590948664,64.050,31.680,0.000,13.760,21.730,0.000
DC4F227DCCD1,1590948845,64.250,31.660,0.000,14.190,19.330,0.000
DC4F227DCCD1,1590949025,64.269,31.660,0.000,13.690,19.890,0.000
DC4F227DCCD1,1590949205,64.319,31.620,0.000,12.530,18.190,0.000
DC4F227DCCD1,1590949386,64.080,31.600,0.000,12.530,20.060,0.000
DC4F227DCCD1,1590949565,64.400,31.560,0.000,12.190,17.560,0.000
DC4F227DCCD1,1590949744,64.470,31.570,0.000,11.500,18.230,0.000
DC4F227DCCD1,1590949925,64.569,31.570,0.000,13.260,17.600,0.000
DC4F227DCCD1,1590950104,64.560,31.560,0.000,13.430,18.690,0.000
DC4F227DCCD1,1590950286,64.720,31.550,0.000,13.060,18.660,0.000
DC4F227DCCD1,1590950466,64.849,31.550,0.000,14.160,19.800,0.000
DC4F227DCCD1,1590950646,65.129,31.520,0.000,13.060,17.230,0.000
DC4F227DCCD1,1590950824,65.230,31.490,0.000,12.560,17.190,0.000
DC4F227DCCD1,1590951006,65.470,31.500,0.000,14.160,18.030,0.000
DC4F227DCCD1,1590951185,65.470,31.490,0.000,13.590,18.330,0.000
DC4F227DCCD1,1590951364,65.730,31.490,0.000,13.160,18.630,0.000
DC4F227DCCD1,1590951544,65.640,31.500,0.000,14.960,22.500,0.000
DC4F227DCCD1,1590951724,65.870,31.470,0.000,15.560,19.360,0.000
DC4F227DCCD1,1590951904,65.980,31.470,0.000,15.400,20.230,0.000
DC4F227DCCD1,1590952084,66.150,31.440,0.000,17.800,21.530,0.000
DC4F227DCCD1,1590952266,66.240,31.410,0.000,16.630,20.690,0.000
DC4F227DCCD1,1590952444,66.510,31.390,0.000,15.530,21.030,0.000
DC4F227DCCD1,1590952625,66.850,31.320,0.000,16.360,20.000,0.000
DC4F227DCCD1,1590952804,67.300,31.260,0.000,16.690,20.000,0.000
DC4F227DCCD1,1590952986,67.210,31.290,0.000,15.760,20.530,0.000
DC4F227DCCD1,1590953166,67.280,31.280,0.000,16.560,21.860,0.000
DC4F227DCCD1,1590953344,67.370,31.270,0.000,17.530,21.100,0.000
DC4F227DCCD1,1590953526,67.280,31.270,0.000,17.370,22.270,0.000
DC4F227DCCD1,1590953706,67.430,31.290,0.000,19.230,22.730,0.000
DC4F227DCCD1,1590953887,67.630,31.240,0.000,19.930,24.160,0.000
DC4F227DCCD1,1590954066,67.640,31.220,0.000,18.200,22.730,0.000
DC4F227DCCD1,1590954243,67.700,31.230,0.000,19.360,25.560,0.000
DC4F227DCCD1,1590954424,67.660,31.240,0.000,19.300,23.330,0.000
DC4F227DCCD1,1590954604,67.560,31.260,0.000,18.330,22.790,0.000
DC4F227DCCD1,1590954786,67.660,31.200,0.000,18.500,22.960,0.000
DC4F227DCCD1,1590954966,67.550,31.210,0.000,18.630,22.760,0.000
DC4F227DCCD1,1590955145,67.570,31.220,0.000,17.830,24.660,0.000
DC4F227DCCD1,1590955325,67.740,31.180,0.000,17.700,22.200,0.000
DC4F227DCCD1,1590955504,67.630,31.180,0.000,19.760,25.630,0.000
DC4F227DCCD1,1590955684,67.780,31.170,0.000,16.960,21.300,0.000
DC4F227DCCD1,1590955865,67.960,31.130,0.000,17.430,22.030,0.000
DC4F227DCCD1,1590956046,67.990,31.120,0.000,17.930,22.960,0.000
DC4F227DCCD1,1590956224,67.860,31.150,0.000,15.960,21.960,0.000
DC4F227DCCD1,1590956406,68.010,31.100,0.000,16.690,20.430,0.000
DC4F227DCCD1,1590956586,68.340,31.070,0.000,16.390,22.700,0.000
DC4F227DCCD1,1590956766,68.490,31.060,0.000,15.360,19.100,0.000
DC4F227DCCD1,1590956946,68.550,31.070,0.000,16.560,20.900,0.000
DC4F227DCCD1,1590957124,68.530,31.060,0.000,16.030,20.030,0.000
DC4F227DCCD1,1590957305,68.410,31.080,0.000,15.930,19.890,0.000
DC4F227DCCD1,1590957485,68.390,31.060,0.000,16.400,20.530,0.000
DC4F227DCCD1,1590957664,68.520,31.060,0.000,15.760,19.300,0.000
DC4F227DCCD1,1590957844,68.610,31.070,0.000,16.360,21.030,0.000
DC4F227DCCD1,1590958025,68.560,31.040,0.000,16.190,20.560,0.000
DC4F227DCCD1,1590958205,68.570,31.040,0.000,14.860,21.760,0.000
DC4F227DCCD1,1590958384,68.630,31.020,0.000,15.860,20.960,0.000
DC4F227DCCD1,1590958564,68.690,31.020,0.000,15.560,20.360,0.000
DC4F227DCCD1,1590958745,68.890,30.970,0.000,14.760,19.760,0.000
DC4F227DCCD1,1590958925,68.900,30.950,0.000,16.600,22.130,0.000
DC4F227DCCD1,1590959106,69.090,30.920,0.000,16.530,22.360,0.000
DC4F227DCCD1,1590959286,68.940,30.930,0.000,16.630,22.860,0.000
DC4F227DCCD1,1590959466,69.060,30.930,0.000,17.300,21.600,0.000
DC4F227DCCD1,1590959644,69.250,30.920,0.000,17.000,22.300,0.000
DC4F227DCCD1,1590959826,69.110,30.910,0.000,17.630,22.390,0.000
DC4F227DCCD1,1590960006,69.370,30.900,0.000,17.500,20.630,0.000
DC4F227DCCD1,1590960185,69.360,30.890,0.000,15.800,20.130,0.000
DC4F227DCCD1,1590960364,69.570,30.910,0.000,17.890,22.690,0.000
DC4F227DCCD1,1590960544,69.790,30.860,0.000,18.260,23.390,0.000
DC4F227DCCD1,1590960726,69.580,30.890,0.000,16.730,21.500,0.000
DC4F227DCCD1,1590960904,69.590,30.910,0.000,18.130,23.060,0.000
DC4F227DCCD1,1590961085,69.660,30.890,0.000,17.630,21.030,0.000
DC4F227DCCD1,1590961264,69.440,30.910,0.000,17.130,22.830,0.000
DC4F227DCCD1,1590961445,69.460,30.920,0.000,18.090,22.330,0.000
DC4F227DCCD1,1590961626,69.460,30.940,0.000,17.600,23.130,0.000
DC4F227DCCD1,1590961805,69.550,30.960,0.000,18.030,22.130,0.000
DC4F227DCCD1,1590961984,69.720,30.910,0.000,19.130,22.660,0.000
DC4F227DCCD1,1590962165,69.770,30.910,0.000,18.060,21.360,0.000
DC4F227DCCD1,1590962345,69.800,30.890,0.000,18.690,23.690,0.000
DC4F227DCCD1,1590962525,69.790,30.840,0.000,17.960,22.000,0.000
DC4F227DCCD1,1590962704,69.990,30.830,0.000,16.560,20.890,0.000
DC4F227DCCD1,1590962886,69.940,30.840,0.000,18.360,22.390,0.000
DC4F227DCCD1,1590963065,70.040,30.850,0.000,17.130,20.990,0.000
DC4F227DCCD1,1590963245,70.170,30.840,0.000,17.730,21.760,0.000
DC4F227DCCD1,1590963425,70.290,30.820,0.000,18.290,23.030,0.000
DC4F227DCCD1,1590963604,70.180,30.820,0.000,18.190,24.930,0.000
DC4F227DCCD1,1590963785,70.560,30.730,0.000,18.930,23.930,0.000
DC4F227DCCD1,1590963964,70.660,30.760,0.000,18.190,22.830,0.000
DC4F227DCCD1,1590964144,70.610,30.740,0.000,19.530,22.890,0.000
DC4F227DCCD1,1590964325,70.530,30.760,0.000,18.230,22.730,0.000
DC4F227DCCD1,1590964506,70.480,30.750,0.000,19.130,25.730,0.000
DC4F227DCCD1,1590964685,70.540,30.750,0.000,18.630,23.860,0.000
DC4F227DCCD1,1590964866,70.750,30.720,0.000,18.530,24.760,0.000
DC4F227DCCD1,1590965046,70.860,30.720,0.000,19.530,24.230,0.000
DC4F227DCCD1,1590965226,71.320,30.690,0.000,18.660,24.160,0.000
DC4F227DCCD1,1590965406,71.410,30.670,0.000,19.230,23.690,0.000
DC4F227DCCD1,1590965586,71.520,30.640,0.000,18.560,27.230,0.000
DC4F227DCCD1,1590965766,71.410,30.610,0.000,18.160,25.130,0.000
DC4F227DCCD1,1590965945,71.230,30.630,0.000,17.660,22.760,0.000
DC4F227DCCD1,1590966126,71.290,30.610,0.000,17.830,24.030,0.000
DC4F227DCCD1,1590966305,71.560,30.530,0.000,17.900,23.800,0.000
DC4F227DCCD1,1590966486,71.420,30.570,0.000,17.800,23.000,0.000
DC4F227DCCD1,1590966665,70.870,30.660,0.000,16.960,24.760,0.000
DC4F227DCCD1,1590966846,70.870,30.700,0.000,17.300,24.690,0.000
DC4F227DCCD1,1590967025,70.760,30.690,0.000,17.300,23.160,0.000
DC4F227DCCD1,1590967205,70.780,30.710,0.000,17.330,23.860,0.000
DC4F227DCCD1,1590967385,70.400,30.740,0.000,17.660,24.960,0.000
DC4F227DCCD1,1590967565,70.310,30.790,0.000,17.530,23.860,0.000
DC4F227DCCD1,1590967746,70.270,30.810,0.000,17.300,24.930,0.000
DC4F227DCCD1,1590967924,70.150,30.820,0.000,17.290,22.700,0.000
DC4F227DCCD1,1590968105,70.010,30.790,0.000,17.060,22.790,0.000
DC4F227DCCD1,1590968285,69.920,30.800,0.000,16.730,24.160,0.000
DC4F227DCCD1,1590968466,69.720,30.810,0.000,16.690,22.700,0.000
DC4F227DCCD1,1590968644,69.630,30.830,0.000,16.059,21.600,0.000
DC4F227DCCD1,1590968825,69.350,30.850,0.000,16.430,22.460,0.000
DC4F227DCCD1,1590969006,69.150,30.870,0.000,16.059,22.160,0.000
DC4F227DCCD1,1590969185,68.840,30.870,0.000,16.300,22.000,0.000
DC4F227DCCD1,1590969365,68.850,30.920,0.000,16.059,22.790,0.000
DC4F227DCCD1,1590969544,68.750,30.990,0.000,16.660,25.330,0.000
DC4F227DCCD1,1590969724,68.560,31.060,0.000,16.230,22.230,0.000
DC4F227DCCD1,1590969905,68.400,31.120,0.000,16.800,25.190,0.000
DC4F227DCCD1,1590970086,68.020,31.200,0.000,16.690,22.930,0.000
DC4F227DCCD1,1590970264,67.790,31.270,0.000,16.260,23.030,0.000
DC4F227DCCD1,1590970444,66.890,31.350,0.000,14.060,20.600,0.000
DC4F227DCCD1,1590970624,66.310,31.430,0.000,13.560,19.260,0.000
DC4F227DCCD1,1590970805,65.960,31.540,0.000,14.330,21.600,0.000
DC4F227DCCD1,1590970985,65.690,31.590,0.000,14.560,20.500,0.000
DC4F227DCCD1,1590971164,66.080,31.620,0.000,14.730,19.460,0.000
DC4F227DCCD1,1590971345,66.030,31.660,0.000,15.230,19.960,0.000
DC4F227DCCD1,1590971524,65.450,31.670,0.000,14.530,18.460,0.000
DC4F227DCCD1,1590971706,65.090,31.720,0.000,14.430,18.890,0.000
DC4F227DCCD1,1590971885,64.840,31.820,0.000,14.900,19.260,0.000
DC4F227DCCD1,1590972066,64.400,31.890,0.000,15.190,21.190,0.000
DC4F227DCCD1,1590972247,64.239,32.020,0.000,14.900,20.130,0.000
DC4F227DCCD1,1590972425,63.230,32.080,0.000,13.630,20.030,0.000
DC4F227DCCD1,1590972605,63.490,32.140,0.000,14.530,19.730,0.000
DC4F227DCCD1,1590972786,63.240,32.140,0.000,14.730,20.000,0.000
DC4F227DCCD1,1590972965,63.020,32.180,0.000,14.300,22.030,0.000
DC4F227DCCD1,1590973144,62.600,32.189,0.000,14.060,20.600,0.000
DC4F227DCCD1,1590973325,62.120,32.270,0.000,13.930,20.430,0.000
DC4F227DCCD1,1590973504,62.140,32.320,0.000,13.530,20.760,0.000
DC4F227DCCD1,1590973684,61.690,32.360,0.000,12.800,18.200,0.000
DC4F227DCCD1,1590973865,61.680,32.409,0.000,13.400,18.000,0.000
DC4F227DCCD1,1590974045,61.380,32.490,0.000,14.500,19.360,0.000
DC4F227DCCD1,1590974224,61.220,32.670,0.000,13.800,19.060,0.000
DC4F227DCCD1,1590974405,60.660,32.820,0.000,12.860,18.890,0.000
DC4F227DCCD1,1590974585,60.600,32.759,0.000,13.300,18.960,0.000
DC4F227DCCD1,1590974764,60.560,32.870,0.000,14.030,19.530,0.000
DC4F227DCCD1,1590974946,60.460,33.010,0.000,14.060,21.100,0.000
DC4F227DCCD1,1590975125,59.940,33.080,0.000,13.500,18.260,0.000
DC4F227DCCD1,1590975306,59.520,33.140,0.000,13.460,18.860,0.000
DC4F227DCCD1,1590975486,59.560,33.130,0.000,13.730,19.560,0.000
DC4F227DCCD1,1590975665,59.230,33.210,0.000,13.800,18.690,0.000
DC4F227DCCD1,1590975843,59.220,33.360,0.000,14.130,18.230,0.000
DC4F227DCCD1,1590976025,58.660,33.450,0.000,13.090,18.630,0.000
DC4F227DCCD1,1590976205,57.950,33.520,0.000,15.130,20.560,0.000
DC4F227DCCD1,1590976385,57.970,33.650,0.000,14.230,20.800,0.000
DC4F227DCCD1,1590976564,57.840,33.730,0.000,14.460,19.460,0.000
DC4F227DCCD1,1590976744,57.470,33.770,0.000,14.460,19.590,0.000
DC4F227DCCD1,1590976925,57.220,33.830,0.000,14.160,18.890,0.000
DC4F227DCCD1,1590977105,55.800,33.760,0.000,13.530,18.730,0.000
DC4F227DCCD1,1590977285,55.360,33.800,0.000,13.390,17.860,0.000
DC4F227DCCD1,1590977465,55.490,33.810,0.000,15.460,19.390,0.000
DC4F227DCCD1,1590977645,56.370,33.920,0.000,14.860,19.160,0.000
DC4F227DCCD1,1590977826,55.740,33.970,0.000,15.060,17.990,0.000
DC4F227DCCD1,1590978006,55.030,34.000,0.000,15.260,20.030,0.000
DC4F227DCCD1,1590978186,54.240,34.140,0.000,14.330,20.000,0.000
DC4F227DCCD1,1590978364,54.300,34.300,0.000,14.500,22.830,0.000
