NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
DC4F227DCD2F,1597036321,52.190,27.070,0.000,4.800,10.130,0.000
DC4F227DCD2F,1597036501,52.270,27.030,0.000,4.730,9.730,0.000
DC4F227DCD2F,1597036681,51.090,26.920,0.000,4.730,9.430,0.000
DC4F227DCD2F,1597036861,50.330,26.870,0.000,4.800,9.690,0.000
DC4F227DCD2F,1597037044,50.430,26.760,0.000,4.160,8.630,0.000
DC4F227DCD2F,1597037221,50.500,26.690,0.000,4.590,8.830,0.000
DC4F227DCD2F,1597037401,50.070,26.650,0.000,4.500,10.030,0.000
DC4F227DCD2F,1597037581,50.130,26.640,0.000,4.190,7.660,0.000
DC4F227DCD2F,1597037761,49.570,26.620,0.000,4.290,9.500,0.000
DC4F227DCD2F,1597037941,49.210,26.560,0.000,4.260,7.630,0.000
DC4F227DCD2F,1597038121,49.100,26.510,0.000,4.330,8.330,0.000
DC4F227DCD2F,1597038301,48.640,26.460,0.000,4.000,7.360,0.000
DC4F227DCD2F,1597038481,48.280,26.400,0.000,4.000,7.900,0.000
DC4F227DCD2F,1597038661,48.180,26.370,0.000,3.700,7.630,0.000
DC4F227DCD2F,1597038841,48.200,26.310,0.000,3.890,7.760,0.000
DC4F227DCD2F,1597039021,48.030,26.310,0.000,3.930,7.900,0.000
DC4F227DCD2F,1597039201,47.700,26.300,0.000,3.960,7.230,0.000
DC4F227DCD2F,1597039381,47.530,26.280,0.000,3.860,7.460,0.000
DC4F227DCD2F,1597039561,47.430,26.250,0.000,4.000,8.300,0.000
DC4F227DCD2F,1597039741,47.850,26.250,0.000,3.890,9.060,0.000
DC4F227DCD2F,1597039921,47.780,26.200,0.000,3.860,8.860,0.000
DC4F227DCD2F,1597040101,48.180,26.180,0.000,4.260,8.860,0.000
DC4F227DCD2F,1597040281,48.550,26.160,0.000,4.090,10.800,0.000
DC4F227DCD2F,1597040461,48.830,26.210,0.000,3.790,9.530,0.000
DC4F227DCD2F,1597040641,49.020,26.250,0.000,4.700,13.860,0.000
DC4F227DCD2F,1597040821,49.800,26.270,0.000,4.900,13.800,0.000
DC4F227DCD2F,1597041001,49.960,26.350,0.000,4.630,13.400,0.000
DC4F227DCD2F,1597041181,49.310,26.540,0.000,4.160,11.960,0.000
DC4F227DCD2F,1597041361,48.980,26.710,0.000,4.500,11.330,0.000
DC4F227DCD2F,1597041541,48.610,26.850,0.000,4.460,12.690,0.000
DC4F227DCD2F,1597041721,48.390,26.890,0.000,4.400,11.930,0.000
DC4F227DCD2F,1597041901,49.280,26.940,0.000,3.960,12.160,0.000
DC4F227DCD2F,1597042082,50.770,26.970,0.000,4.330,13.060,0.000
DC4F227DCD2F,1597042270,50.530,27.000,0.000,4.360,11.160,0.000
DC4F227DCD2F,1597042441,50.490,26.990,0.000,4.330,11.360,0.000
DC4F227DCD2F,1597042621,50.160,26.970,0.000,4.230,10.760,0.000
