NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
DC4F227E57DA,1589685868,61.700,33.390,0.000,28.260,46.960,0.000
DC4F227E57DA,1589685969,61.670,33.430,0.000,31.360,59.290,0.000
DC4F227E57DA,1589686146,61.520,33.600,0.000,28.800,48.000,0.000
DC4F227E57DA,1589686329,60.940,33.750,0.000,28.460,45.760,0.000
DC4F227E57DA,1589686508,59.900,34.080,0.000,27.960,44.930,0.000
DC4F227E57DA,1589686690,59.160,34.340,0.000,26.660,39.660,0.000
DC4F227E57DA,1589686867,58.130,34.570,0.000,27.630,44.000,0.000
DC4F227E57DA,1589687049,57.520,34.750,0.000,27.530,45.890,0.000
DC4F227E57DA,1589687229,56.410,34.930,0.000,28.130,45.090,0.000
DC4F227E57DA,1589687410,55.360,34.860,0.000,27.930,42.890,0.000
DC4F227E57DA,1589687597,55.870,34.980,0.000,26.100,39.700,0.000
DC4F227E57DA,1589687767,55.090,34.980,0.000,27.530,41.590,0.000
DC4F227E57DA,1589687951,54.990,34.840,0.000,27.650,43.540,0.000
DC4F227E57DA,1589688131,56.950,34.520,0.000,31.260,45.900,0.000
DC4F227E57DA,1589688310,59.280,34.140,0.000,32.400,50.290,0.000
DC4F227E57DA,1589688488,60.140,33.870,0.000,34.930,52.030,0.000
DC4F227E57DA,1589688673,60.280,33.230,0.000,30.290,46.730,0.000
DC4F227E57DA,1589688850,59.470,32.340,0.000,14.500,33.600,0.000
DC4F227E57DA,1589689029,60.930,30.910,0.000,6.430,16.000,0.000
DC4F227E57DA,1589689211,63.660,29.720,0.000,5.060,13.030,0.000
DC4F227E57DA,1589689387,64.519,29.470,0.000,4.700,11.560,0.000
DC4F227E57DA,1589689749,63.780,29.450,0.000,4.830,15.760,0.000
DC4F227E57DA,1589689931,63.500,29.240,0.000,3.790,8.360,0.000
DC4F227E57DA,1589690120,64.500,28.980,0.000,4.360,11.300,0.000
DC4F227E57DA,1589690289,63.650,28.990,0.000,4.330,12.160,0.000
DC4F227E57DA,1589690486,63.160,28.840,0.000,3.930,10.130,0.000
DC4F227E57DA,1589690661,63.220,29.100,0.000,3.860,9.230,0.000
DC4F227E57DA,1589690842,62.690,29.370,0.000,4.260,8.060,0.000
DC4F227E57DA,1589691007,61.390,29.740,0.000,4.230,9.460,0.000
DC4F227E57DA,1589691188,61.770,29.500,0.000,3.760,5.960,0.000
DC4F227E57DA,1589691379,61.830,29.730,0.000,4.400,7.930,0.000
DC4F227E57DA,1589691547,60.930,29.910,0.000,4.130,6.560,0.000
DC4F227E57DA,1589691751,60.890,30.040,0.000,4.330,7.500,0.000
DC4F227E57DA,1589691952,60.740,30.210,0.000,4.160,7.430,0.000
DC4F227E57DA,1589692087,60.520,30.280,0.000,4.260,8.090,0.000
DC4F227E57DA,1589692270,59.890,30.590,0.000,4.190,7.360,0.000
DC4F227E57DA,1589692446,59.270,30.910,0.000,4.660,9.190,0.000
DC4F227E57DA,1589692630,58.860,31.000,0.000,4.460,8.260,0.000
DC4F227E57DA,1589692811,58.090,31.290,0.000,4.630,7.260,0.000
DC4F227E57DA,1589692987,57.810,31.380,0.000,4.730,6.860,0.000
DC4F227E57DA,1589693169,57.280,31.510,0.000,4.560,6.460,0.000
DC4F227E57DA,1589693351,56.500,31.780,0.000,4.730,6.730,0.000
DC4F227E57DA,1589693528,56.060,31.940,0.000,4.460,7.400,0.000
DC4F227E57DA,1589693714,55.400,32.180,0.000,4.430,7.730,0.000
DC4F227E57DA,1589693890,54.170,32.439,0.000,4.860,6.590,0.000
DC4F227E57DA,1589694069,53.770,32.670,0.000,4.090,6.730,0.000
DC4F227E57DA,1589694249,53.290,32.950,0.000,5.060,7.030,0.000
DC4F227E57DA,1589694438,52.660,33.070,0.000,5.030,8.730,0.000
DC4F227E57DA,1589694607,52.150,33.190,0.000,5.460,7.730,0.000
DC4F227E57DA,1589694790,52.720,32.720,0.000,5.500,7.090,0.000
DC4F227E57DA,1589694967,53.300,32.610,0.000,5.090,8.300,0.000
DC4F227E57DA,1589695148,53.240,32.680,0.000,5.090,7.260,0.000
DC4F227E57DA,1589695339,52.910,32.900,0.000,5.060,7.730,0.000
DC4F227E57DA,1589695528,52.750,33.030,0.000,5.730,9.260,0.000
DC4F227E57DA,1589695696,52.790,33.000,0.000,5.530,7.860,0.000
DC4F227E57DA,1589695868,52.410,33.180,0.000,5.460,9.460,0.000
DC4F227E57DA,1589696071,52.020,33.430,0.000,5.860,10.500,0.000
DC4F227E57DA,1589696229,51.710,33.450,0.000,5.930,10.030,0.000
DC4F227E57DA,1589696413,51.790,33.520,0.000,5.500,8.960,0.000
DC4F227E57DA,1589696592,51.140,33.890,0.000,5.500,8.430,0.000
DC4F227E57DA,1589696769,50.400,34.020,0.000,5.400,10.200,0.000
DC4F227E57DA,1589696950,50.250,34.170,0.000,5.860,10.630,0.000
DC4F227E57DA,1589697128,50.520,34.220,0.000,6.030,10.400,0.000
DC4F227E57DA,1589697311,51.100,34.070,0.000,5.700,11.160,0.000
DC4F227E57DA,1589697488,51.070,34.130,0.000,5.830,11.630,0.000
DC4F227E57DA,1589697669,50.800,34.250,0.000,5.900,11.190,0.000
DC4F227E57DA,1589697847,50.370,34.440,0.000,5.730,12.500,0.000
DC4F227E57DA,1589698028,49.460,34.590,0.000,6.330,11.330,0.000
DC4F227E57DA,1589698208,49.110,34.510,0.000,6.860,12.390,0.000
DC4F227E57DA,1589698391,49.480,34.360,0.000,6.260,11.430,0.000
DC4F227E57DA,1589698568,49.650,34.330,0.000,6.160,12.430,0.000
DC4F227E57DA,1589698752,50.270,34.140,0.000,6.400,13.160,0.000
DC4F227E57DA,1589698932,50.420,34.090,0.000,6.500,14.230,0.000
DC4F227E57DA,1589699115,50.420,34.020,0.000,6.500,16.760,0.000
DC4F227E57DA,1589699291,51.230,33.790,0.000,6.860,21.460,0.000
DC4F227E57DA,1589699471,52.310,33.500,0.000,6.730,18.360,0.000
DC4F227E57DA,1589699646,52.630,33.460,0.000,6.390,17.500,0.000
DC4F227E57DA,1589699830,52.480,33.660,0.000,6.160,17.790,0.000
DC4F227E57DA,1589700009,52.210,33.860,0.000,6.090,16.530,0.000
DC4F227E57DA,1589700189,51.590,34.130,0.000,6.130,15.960,0.000
DC4F227E57DA,1589700370,51.570,34.160,0.000,6.160,16.390,0.000
DC4F227E57DA,1589700553,51.570,34.160,0.000,10.260,20.730,0.000
DC4F227E57DA,1589700726,51.590,34.110,0.000,8.630,17.630,0.000
DC4F227E57DA,1589700910,52.180,33.850,0.000,7.360,14.530,0.000
DC4F227E57DA,1589701090,52.530,33.770,0.000,6.930,12.860,0.000
DC4F227E57DA,1589701271,52.700,33.730,0.000,7.230,15.500,0.000
DC4F227E57DA,1589701451,52.840,33.830,0.000,7.160,14.960,0.000
DC4F227E57DA,1589701630,53.060,33.750,0.000,6.430,13.660,0.000
DC4F227E57DA,1589701809,52.800,33.730,0.000,5.590,11.690,0.000
DC4F227E57DA,1589701991,53.190,33.640,0.000,5.200,12.460,0.000
DC4F227E57DA,1589702170,53.080,33.670,0.000,5.560,14.100,0.000
DC4F227E57DA,1589702530,52.720,33.840,0.000,4.500,9.230,0.000
DC4F227E57DA,1589702724,52.760,33.940,0.000,4.830,9.990,0.000
DC4F227E57DA,1589702890,53.190,33.970,0.000,5.790,12.660,0.000
DC4F227E57DA,1589703069,53.030,33.950,0.000,6.130,11.830,0.000
DC4F227E57DA,1589703247,52.970,33.760,0.000,5.790,10.830,0.000
DC4F227E57DA,1589703429,53.220,33.760,0.000,7.030,15.000,0.000
DC4F227E57DA,1589703610,52.700,33.860,0.000,6.330,10.800,0.000
DC4F227E57DA,1589703791,52.160,33.900,0.000,5.860,12.300,0.000
DC4F227E57DA,1589703968,52.160,33.830,0.000,6.030,9.830,0.000
DC4F227E57DA,1589704147,52.470,33.780,0.000,5.700,9.830,0.000
DC4F227E57DA,1589704328,52.540,33.810,0.000,6.030,14.030,0.000
DC4F227E57DA,1589704508,52.400,33.850,0.000,5.260,9.500,0.000
DC4F227E57DA,1589704689,51.640,33.880,0.000,4.830,9.660,0.000
DC4F227E57DA,1589704868,51.020,33.780,0.000,3.730,7.060,0.000
DC4F227E57DA,1589705076,51.180,33.650,0.000,12.160,24.130,0.000
DC4F227E57DA,1589705230,51.530,33.550,0.000,8.590,16.930,0.000
DC4F227E57DA,1589705417,51.710,33.630,0.000,51.830,110.800,0.000
DC4F227E57DA,1589705592,50.880,33.800,0.000,22.660,41.160,0.000
DC4F227E57DA,1589705769,51.170,33.870,0.000,17.830,30.700,0.000
DC4F227E57DA,1589705949,51.410,33.870,0.000,19.930,31.130,0.000
DC4F227E57DA,1589706129,51.430,33.800,0.000,7.360,13.790,0.000
DC4F227E57DA,1589706310,50.890,33.760,0.000,4.900,8.690,0.000
DC4F227E57DA,1589706515,51.040,33.880,0.000,10.830,21.390,0.000
DC4F227E57DA,1589706670,51.020,34.100,0.000,19.160,35.390,0.000
DC4F227E57DA,1589706858,50.930,34.320,0.000,17.390,29.330,0.000
DC4F227E57DA,1589707037,50.520,34.580,0.000,22.930,38.790,0.000
DC4F227E57DA,1589707208,51.040,34.660,0.000,24.390,36.660,0.000
DC4F227E57DA,1589707390,50.470,34.780,0.000,54.760,84.500,0.000
DC4F227E57DA,1589707572,50.550,34.800,0.000,93.330,151.690,0.000
DC4F227E57DA,1589707749,50.210,34.550,0.000,19.460,35.760,0.000
DC4F227E57DA,1589707929,50.670,34.180,0.000,6.360,13.300,0.000
DC4F227E57DA,1589708109,51.100,33.840,0.000,6.300,11.760,0.000
DC4F227E57DA,1589708289,51.910,33.310,0.000,5.260,10.230,0.000
DC4F227E57DA,1589708469,52.610,33.100,0.000,4.260,7.330,0.000
DC4F227E57DA,1589708650,52.640,33.030,0.000,4.700,8.690,0.000
DC4F227E57DA,1589708831,53.070,32.920,0.000,4.590,8.730,0.000
DC4F227E57DA,1589709009,54.470,32.770,0.000,5.430,10.490,0.000
DC4F227E57DA,1589709187,54.260,32.750,0.000,4.530,9.530,0.000
